customerid,age,salary,balance,marital,jobedu,targeted,default,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,response
749,37,20000,88,single,"blue-collar,secondary",yes,no,yes,no,unknown,6,"may, 2017",128 sec,2,-1,0,unknown,no
750,30,100000,32,married,"management,tertiary",yes,no,yes,no,unknown,6,"may, 2017",122 sec,3,-1,0,unknown,no
751,30,50000,115,single,"admin.,secondary",yes,no,yes,no,unknown,6,"may, 2017",66 sec,3,-1,0,unknown,no
752,54,20000,254,married,"blue-collar,secondary",yes,no,yes,no,unknown,6,"may, 2017",66 sec,2,-1,0,unknown,no
753,36,100000,144,married,"management,tertiary",yes,no,yes,no,unknown,6,"may, 2017",164 sec,2,-1,0,unknown,no
754,55,8000,383,married,"unemployed,tertiary",yes,no,no,no,unknown,6,"may, 2017",343 sec,3,-1,0,unknown,no
755,37,50000,569,single,"admin.,secondary",yes,no,yes,yes,unknown,6,"may, 2017",126 sec,2,-1,0,unknown,no
756,38,16000,0,married,"housemaid,secondary",yes,no,yes,no,unknown,6,"may, 2017",59 sec,3,-1,0,unknown,no
757,48,50000,3754,married,"admin.,secondary",yes,no,yes,no,unknown,6,"may, 2017",249 sec,3,-1,0,unknown,no
758,55,16000,6920,divorced,"housemaid,tertiary",no,no,yes,no,unknown,6,"may, 2017",406 sec,3,-1,0,unknown,no
759,59,70000,307,married,"services,secondary",yes,no,yes,yes,unknown,6,"may, 2017",250 sec,7,-1,0,unknown,no
760,37,60000,-421,married,"technician,secondary",yes,no,yes,no,unknown,6,"may, 2017",183 sec,5,-1,0,unknown,no
761,33,20000,60,divorced,"blue-collar,secondary",yes,no,no,no,unknown,6,"may, 2017",190 sec,3,-1,0,unknown,no
762,44,20000,67,married,"blue-collar,primary",yes,no,yes,no,unknown,6,"may, 2017",220 sec,2,-1,0,unknown,no
763,57,60000,402,married,"technician,secondary",yes,no,yes,no,unknown,6,"may, 2017",153 sec,3,-1,0,unknown,no
764,30,60000,800,single,"self-employed,tertiary",no,no,no,no,unknown,6,"may, 2017",95 sec,2,-1,0,unknown,no
765,42,60000,239,married,"technician,tertiary",yes,no,yes,yes,unknown,6,"may, 2017",191 sec,3,-1,0,unknown,no
766,51,20000,421,divorced,"blue-collar,secondary",yes,no,yes,no,unknown,6,"may, 2017",216 sec,2,-1,0,unknown,no
767,44,50000,161,divorced,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",89 sec,2,-1,0,unknown,no
768,46,60000,289,married,"technician,secondary",yes,yes,no,no,unknown,7,"may, 2017",51 sec,3,-1,0,unknown,no
769,29,4000,110,single,"student,secondary",yes,no,yes,no,unknown,7,"may, 2017",169 sec,3,-1,0,unknown,no
770,39,20000,245,married,"blue-collar,primary",yes,no,yes,no,unknown,7,,148 sec,3,-1,0,unknown,no
771,42,70000,0,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",132 sec,3,-1,0,unknown,no
772,50,20000,156,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",117 sec,3,-1,0,unknown,no
773,42,60000,0,single,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",275 sec,4,-1,0,unknown,no
774,39,50000,20,married,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",124 sec,2,-1,0,unknown,no
775,55,60000,92,single,"technician,tertiary",no,no,yes,no,unknown,7,"may, 2017",118 sec,3,-1,0,unknown,no
776,46,70000,89,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",479 sec,2,-1,0,unknown,no
777,42,20000,166,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",285 sec,3,-1,0,unknown,no
778,45,100000,103,married,"management,tertiary",yes,no,yes,no,unknown,7,"may, 2017",35 sec,4,-1,0,unknown,no
779,43,20000,-454,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",322 sec,2,-1,0,unknown,no
780,42,50000,445,married,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",202 sec,2,-1,0,unknown,no
781,30,50000,4,married,"admin.,secondary",yes,no,no,no,unknown,7,"may, 2017",172 sec,8,-1,0,unknown,no
782,47,20000,1001,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",201 sec,4,-1,0,unknown,no
783,51,70000,-69,divorced,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",216 sec,3,-1,0,unknown,no
784,38,60000,42,single,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",195 sec,2,-1,0,unknown,no
785,57,60000,1617,married,"technician,unknown",no,no,yes,no,unknown,7,"may, 2017",96 sec,2,-1,0,unknown,no
786,42,100000,221,divorced,"management,tertiary",no,no,yes,no,unknown,7,"may, 2017",720 sec,2,-1,0,unknown,no
787,32,60000,210,divorced,"technician,secondary",yes,no,yes,yes,unknown,7,"may, 2017",188 sec,2,-1,0,unknown,no
788,46,100000,0,married,"management,tertiary",yes,no,no,no,unknown,7,"may, 2017",70 sec,2,-1,0,unknown,no
789,29,4000,185,single,"student,tertiary",no,no,yes,no,unknown,7,"may, 2017",141 sec,3,-1,0,unknown,no
790,59,55000,836,married,"retired,secondary",yes,no,yes,no,unknown,7,"may, 2017",106 sec,1,-1,0,unknown,no
791,32,20000,301,single,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",395 sec,2,-1,0,unknown,no
792,44,20000,503,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",629 sec,2,-1,0,unknown,no
793,40,55000,407,married,"retired,primary",yes,no,yes,no,unknown,7,"may, 2017",502 sec,1,-1,0,unknown,no
794,31,20000,53,single,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",446 sec,1,-1,0,unknown,no
795,46,60000,2303,married,"self-employed,tertiary",yes,no,yes,no,unknown,7,"may, 2017",241 sec,1,-1,0,unknown,no
796,43,100000,144,married,"management,tertiary",yes,no,yes,no,unknown,7,"may, 2017",131 sec,3,-1,0,unknown,no
797,34,70000,205,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",312 sec,1,-1,0,unknown,no
798,39,100000,305,married,"management,tertiary",yes,no,yes,no,unknown,7,"may, 2017",275 sec,6,-1,0,unknown,no
799,30,20000,251,divorced,"blue-collar,secondary",yes,no,yes,yes,unknown,7,"may, 2017",120 sec,2,-1,0,unknown,no
800,56,55000,0,married,"retired,secondary",yes,no,yes,no,unknown,7,"may, 2017",333 sec,4,-1,0,unknown,no
801,29,60000,8,married,"technician,secondary",yes,no,no,no,unknown,7,"may, 2017",113 sec,1,-1,0,unknown,no
802,40,20000,139,divorced,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",91 sec,1,-1,0,unknown,no
803,36,70000,184,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",128 sec,3,-1,0,unknown,no
804,37,20000,238,single,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",200 sec,2,-1,0,unknown,no
805,35,50000,0,married,"admin.,secondary",yes,no,no,no,unknown,7,"may, 2017",326 sec,1,-1,0,unknown,no
806,35,20000,0,married,"blue-collar,primary",yes,yes,yes,no,unknown,7,"may, 2017",292 sec,1,-1,0,unknown,no
807,47,70000,222,married,"services,primary",yes,no,yes,no,unknown,7,"may, 2017",68 sec,1,-1,0,unknown,no
808,31,70000,414,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",215 sec,1,-1,0,unknown,no
809,56,55000,223,single,"retired,primary",yes,no,yes,no,unknown,7,"may, 2017",97 sec,1,-1,0,unknown,no
810,57,60000,197,married,"technician,secondary",yes,no,no,no,unknown,7,"may, 2017",32 sec,1,-1,0,unknown,no
811,36,20000,-251,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",162 sec,1,-1,0,unknown,no
812,45,60000,-139,divorced,"self-employed,secondary",yes,no,yes,no,unknown,7,"may, 2017",152 sec,3,-1,0,unknown,no
813,47,20000,733,married,"blue-collar,unknown",no,no,yes,no,unknown,7,"may, 2017",268 sec,1,-1,0,unknown,no
814,29,60000,0,single,"technician,tertiary",no,no,yes,no,unknown,7,"may, 2017",104 sec,2,-1,0,unknown,no
815,57,70000,1,married,"services,secondary",yes,no,no,no,unknown,7,"may, 2017",852 sec,1,-1,0,unknown,no
816,45,20000,97,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",923 sec,3,-1,0,unknown,no
817,31,20000,435,single,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",159 sec,2,-1,0,unknown,no
818,31,100000,0,divorced,"management,tertiary",no,no,yes,no,unknown,7,"may, 2017",953 sec,3,-1,0,unknown,no
819,37,60000,147,single,"technician,tertiary",no,no,no,no,unknown,7,"may, 2017",416 sec,2,-1,0,unknown,no
820,30,60000,3,single,"technician,tertiary",no,no,yes,no,unknown,7,"may, 2017",174 sec,1,-1,0,unknown,no
821,58,70000,1109,divorced,"services,secondary",yes,no,yes,yes,unknown,7,"may, 2017",180 sec,1,-1,0,unknown,no
822,33,70000,404,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",139 sec,1,-1,0,unknown,no
823,39,20000,981,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",294 sec,1,-1,0,unknown,no
824,33,20000,95,single,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",102 sec,1,-1,0,unknown,no
825,34,70000,302,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",124 sec,1,-1,0,unknown,no
826,36,70000,-290,divorced,"services,secondary",yes,no,yes,yes,unknown,7,"may, 2017",128 sec,1,-1,0,unknown,no
827,37,70000,259,single,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",130 sec,1,-1,0,unknown,no
828,35,20000,527,married,"blue-collar,secondary",yes,no,yes,yes,unknown,7,"may, 2017",143 sec,1,-1,0,unknown,no
829,55,55000,102,married,"retired,secondary",yes,no,yes,no,unknown,7,"may, 2017",74 sec,1,-1,0,unknown,no
830,34,100000,872,single,"management,tertiary",no,no,yes,no,unknown,7,"may, 2017",105 sec,2,-1,0,unknown,no
831,40,100000,490,divorced,"management,tertiary",no,no,yes,no,unknown,7,"may, 2017",477 sec,2,-1,0,unknown,no
832,42,20000,19,single,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",158 sec,1,-1,0,unknown,no
833,37,20000,16,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",250 sec,1,-1,0,unknown,no
834,42,100000,386,married,"management,tertiary",yes,no,yes,no,unknown,7,"may, 2017",168 sec,1,-1,0,unknown,no
835,35,60000,539,single,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",520 sec,1,-1,0,unknown,no
836,44,60000,-329,divorced,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",171 sec,1,-1,0,unknown,no
837,30,70000,-174,single,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",113 sec,1,-1,0,unknown,no
838,45,120000,68,married,"entrepreneur,secondary",yes,no,yes,no,unknown,7,"may, 2017",254 sec,1,-1,0,unknown,no
839,35,20000,-532,single,"blue-collar,unknown",no,yes,yes,no,unknown,7,"may, 2017",149 sec,1,-1,0,unknown,no
840,36,50000,0,divorced,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",133 sec,2,-1,0,unknown,no
841,49,20000,64,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",293 sec,3,-1,0,unknown,no
842,31,20000,1415,single,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",485 sec,1,-1,0,unknown,no
843,31,60000,147,single,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",374 sec,1,-1,0,unknown,no
844,39,20000,72,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",425 sec,6,-1,0,unknown,no
845,37,70000,-196,single,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",207 sec,1,-1,0,unknown,no
846,33,20000,716,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",83 sec,3,-1,0,unknown,no
847,37,100000,0,married,"management,tertiary",yes,no,yes,no,unknown,7,"may, 2017",228 sec,1,-1,0,unknown,no
848,42,70000,-246,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",149 sec,1,-1,0,unknown,no
849,56,20000,-203,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",139 sec,1,-1,0,unknown,no
850,37,50000,245,single,"admin.,secondary",yes,no,yes,yes,unknown,7,"may, 2017",732 sec,2,-1,0,unknown,yes
851,36,70000,342,single,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",142 sec,1,-1,0,unknown,no
852,29,60000,3,single,"technician,tertiary",no,no,yes,no,unknown,7,"may, 2017",359 sec,1,-1,0,unknown,no
853,54,100000,-248,married,"management,tertiary",yes,yes,yes,yes,unknown,7,"may, 2017",112 sec,1,-1,0,unknown,no
854,38,20000,376,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",1521 sec,1,-1,0,unknown,no
855,43,20000,370,divorced,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",216 sec,1,-1,0,unknown,no
856,47,50000,594,single,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",161 sec,1,-1,0,unknown,no
857,47,20000,387,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",122 sec,2,-1,0,unknown,no
858,38,70000,208,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",800 sec,1,-1,0,unknown,no
859,40,20000,563,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",615 sec,1,-1,0,unknown,no
860,33,70000,392,divorced,"services,secondary",yes,no,yes,yes,unknown,7,"may, 2017",254 sec,1,-1,0,unknown,no
861,33,55000,165,married,"retired,secondary",yes,no,no,no,unknown,7,,111 sec,1,-1,0,unknown,no
862,53,50000,236,divorced,"admin.,unknown",no,no,yes,no,unknown,7,"may, 2017",354 sec,1,-1,0,unknown,no
863,37,70000,52,married,"services,primary",yes,no,yes,no,unknown,7,"may, 2017",359 sec,1,-1,0,unknown,no
864,40,100000,1265,single,"management,tertiary",no,no,yes,no,unknown,7,"may, 2017",97 sec,1,-1,0,unknown,no
865,37,20000,693,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",327 sec,3,-1,0,unknown,no
866,35,60000,118,married,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",236 sec,1,-1,0,unknown,no
867,49,20000,3659,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",160 sec,1,-1,0,unknown,no
868,26,20000,24,single,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",180 sec,1,-1,0,unknown,no
869,38,100000,673,single,"management,tertiary",no,no,yes,no,unknown,7,"may, 2017",184 sec,1,-1,0,unknown,no
870,52,60000,273,married,"self-employed,secondary",yes,no,no,no,unknown,7,"may, 2017",227 sec,1,-1,0,unknown,no
871,33,70000,327,divorced,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",109 sec,1,-1,0,unknown,no
872,31,50000,299,single,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",492 sec,2,-1,0,unknown,no
873,32,20000,0,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",298 sec,1,-1,0,unknown,no
874,35,20000,109,single,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",83 sec,2,-1,0,unknown,no
875,55,100000,552,divorced,"management,tertiary",no,no,no,no,unknown,7,"may, 2017",241 sec,2,-1,0,unknown,no
876,32,20000,473,divorced,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",204 sec,2,-1,0,unknown,no
877,37,0,414,single,"unknown,unknown",no,no,yes,no,unknown,7,"may, 2017",131 sec,1,-1,0,unknown,no
878,45,20000,154,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",1138 sec,1,-1,0,unknown,yes
879,31,60000,344,married,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",123 sec,1,-1,0,unknown,no
880,38,50000,8,married,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",125 sec,1,-1,0,unknown,no
881,37,70000,78,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",295 sec,2,-1,0,unknown,no
882,38,20000,266,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",287 sec,1,-1,0,unknown,no
883,33,16000,98,married,"housemaid,tertiary",yes,no,yes,yes,unknown,7,"may, 2017",109 sec,1,-1,0,unknown,no
884,38,20000,83,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",140 sec,2,-1,0,unknown,no
885,37,100000,45,single,"management,tertiary",no,yes,yes,no,unknown,7,"may, 2017",204 sec,1,-1,0,unknown,no
886,29,8000,8,married,"unemployed,tertiary",yes,no,yes,no,unknown,7,"may, 2017",233 sec,1,-1,0,unknown,no
887,42,100000,263,married,"management,tertiary",yes,no,yes,no,unknown,7,"may, 2017",254 sec,1,-1,0,unknown,no
888,40,20000,306,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",184 sec,2,-1,0,unknown,no
889,32,100000,233,married,"management,tertiary",yes,no,yes,no,unknown,7,"may, 2017",193 sec,1,-1,0,unknown,no
890,47,100000,447,divorced,"management,tertiary",no,no,no,yes,unknown,7,"may, 2017",126 sec,1,-1,0,unknown,no
891,29,4000,872,single,"student,secondary",yes,no,yes,no,unknown,7,"may, 2017",230 sec,1,-1,0,unknown,no
892,53,70000,-291,divorced,"services,primary",yes,no,yes,yes,unknown,7,"may, 2017",591 sec,1,-1,0,unknown,yes
893,31,70000,309,married,"services,tertiary",yes,no,yes,yes,unknown,7,"may, 2017",294 sec,1,-1,0,unknown,no
894,59,20000,202,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",173 sec,1,-1,0,unknown,no
895,29,120000,56,married,"entrepreneur,primary",yes,no,yes,yes,unknown,7,"may, 2017",336 sec,1,-1,0,unknown,no
896,59,20000,229,married,"blue-collar,primary",yes,no,yes,yes,unknown,7,"may, 2017",19 sec,1,-1,0,unknown,no
897,44,20000,143,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",153 sec,1,-1,0,unknown,no
898,38,50000,100,single,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",786 sec,1,-1,0,unknown,yes
899,49,50000,326,married,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",99 sec,2,-1,0,unknown,no
900,43,20000,167,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",243 sec,1,-1,0,unknown,no
901,52,50000,545,single,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",260 sec,1,-1,0,unknown,no
902,40,50000,2100,married,"admin.,secondary",yes,no,yes,yes,unknown,7,"may, 2017",164 sec,2,-1,0,unknown,no
903,32,70000,0,married,"services,secondary",yes,no,yes,yes,unknown,7,"may, 2017",255 sec,2,-1,0,unknown,no
904,47,50000,192,married,"admin.,primary",yes,no,yes,no,unknown,7,"may, 2017",47 sec,1,-1,0,unknown,no
905,33,100000,442,married,"management,tertiary",yes,no,yes,no,unknown,7,"may, 2017",463 sec,1,-1,0,unknown,no
906,35,100000,267,married,"management,tertiary",yes,no,yes,no,unknown,7,"may, 2017",192 sec,1,-1,0,unknown,no
907,27,70000,0,single,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",388 sec,7,-1,0,unknown,no
908,50,20000,377,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",221 sec,1,-1,0,unknown,no
909,44,55000,7624,married,"retired,secondary",yes,no,no,no,unknown,7,"may, 2017",126 sec,5,-1,0,unknown,no
910,43,60000,66,married,"self-employed,primary",yes,no,yes,no,unknown,7,"may, 2017",175 sec,5,-1,0,unknown,no
911,51,20000,37,married,"blue-collar,unknown",no,no,yes,no,unknown,7,"may, 2017",256 sec,6,-1,0,unknown,no
912,32,50000,64,single,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",202 sec,2,-1,0,unknown,no
913,47,100000,34,divorced,"management,tertiary",no,no,yes,no,unknown,7,"may, 2017",104 sec,1,-1,0,unknown,no
914,34,50000,627,divorced,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",283 sec,2,-1,0,unknown,no
915,57,60000,1013,married,"self-employed,primary",yes,no,yes,no,unknown,7,"may, 2017",448 sec,1,-1,0,unknown,no
916,43,50000,140,single,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",127 sec,1,-1,0,unknown,no
917,40,70000,8823,single,"services,tertiary",no,no,yes,no,unknown,7,"may, 2017",378 sec,1,-1,0,unknown,no
918,28,20000,97,single,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",67 sec,1,-1,0,unknown,no
919,38,20000,5,married,"blue-collar,unknown",no,no,yes,no,unknown,7,"may, 2017",221 sec,2,-1,0,unknown,no
920,37,8000,74,divorced,"unemployed,secondary",yes,no,yes,no,unknown,7,"may, 2017",150 sec,1,-1,0,unknown,no
921,44,50000,58544,married,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",144 sec,2,-1,0,unknown,no
922,41,60000,169,married,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",296 sec,2,-1,0,unknown,no
923,37,60000,444,married,"self-employed,tertiary",yes,no,yes,no,unknown,7,"may, 2017",401 sec,2,-1,0,unknown,no
924,30,70000,542,single,"services,tertiary",no,no,yes,no,unknown,7,"may, 2017",435 sec,2,-1,0,unknown,no
925,32,20000,-205,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",388 sec,1,-1,0,unknown,no
926,30,100000,112,single,"management,tertiary",no,no,yes,no,unknown,7,"may, 2017",245 sec,1,-1,0,unknown,no
927,35,70000,39,married,"services,secondary",yes,no,no,no,unknown,7,"may, 2017",143 sec,1,-1,0,unknown,no
928,55,20000,1268,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",223 sec,2,-1,0,unknown,no
929,52,20000,-98,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",423 sec,1,-1,0,unknown,no
930,33,50000,44,married,"admin.,secondary",yes,no,yes,yes,unknown,7,"may, 2017",231 sec,1,-1,0,unknown,no
931,55,55000,-90,married,"retired,primary",yes,no,yes,yes,unknown,7,"may, 2017",634 sec,2,-1,0,unknown,no
932,33,20000,0,married,"blue-collar,secondary",yes,no,no,no,unknown,7,"may, 2017",107 sec,1,-1,0,unknown,no
933,40,20000,-94,married,"blue-collar,secondary",yes,yes,yes,yes,unknown,7,"may, 2017",227 sec,1,-1,0,unknown,no
934,39,20000,-345,married,"blue-collar,secondary",yes,yes,yes,no,unknown,7,"may, 2017",69 sec,1,-1,0,unknown,no
935,54,20000,-932,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",799 sec,1,-1,0,unknown,no
936,39,20000,20,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",109 sec,1,-1,0,unknown,no
937,49,20000,90,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",127 sec,1,-1,0,unknown,no
938,52,50000,31,married,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",120 sec,1,-1,0,unknown,no
939,27,100000,134,single,"management,tertiary",no,no,yes,yes,unknown,7,"may, 2017",68 sec,3,-1,0,unknown,no
940,26,70000,0,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",180 sec,2,-1,0,unknown,no
941,40,20000,61,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",112 sec,3,-1,0,unknown,no
942,47,20000,-5,married,"blue-collar,secondary",yes,yes,yes,no,unknown,7,"may, 2017",444 sec,1,-1,0,unknown,no
943,31,70000,-45,single,"services,secondary",yes,no,no,no,unknown,7,"may, 2017",246 sec,2,-1,0,unknown,no
944,53,20000,156,single,"blue-collar,secondary",yes,no,yes,yes,unknown,7,"may, 2017",259 sec,4,-1,0,unknown,no
945,31,70000,564,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",223 sec,3,-1,0,unknown,no
946,33,50000,-6,married,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",566 sec,2,-1,0,unknown,no
947,35,70000,528,married,"services,secondary",yes,no,no,no,unknown,7,"may, 2017",274 sec,2,-1,0,unknown,no
948,46,120000,1481,married,"entrepreneur,unknown",no,no,yes,no,unknown,7,"may, 2017",49 sec,3,-1,0,unknown,no
949,31,100000,2019,married,"management,secondary",yes,no,no,no,unknown,7,"may, 2017",380 sec,2,-1,0,unknown,no
950,35,60000,1855,single,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",138 sec,1,-1,0,unknown,no
951,29,100000,147,married,"management,secondary",yes,no,yes,yes,unknown,7,"may, 2017",376 sec,2,-1,0,unknown,no
952,51,60000,220,married,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",421 sec,2,-1,0,unknown,no
953,33,20000,198,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",121 sec,2,-1,0,unknown,no
954,37,100000,115,married,"management,tertiary",yes,no,no,no,unknown,7,"may, 2017",36 sec,1,-1,0,unknown,no
955,43,50000,87,single,"admin.,unknown",no,no,yes,no,unknown,7,"may, 2017",328 sec,2,-1,0,unknown,no
956,42,60000,644,married,"technician,tertiary",yes,no,yes,no,unknown,7,"may, 2017",19 sec,1,-1,0,unknown,no
957,28,20000,225,married,"blue-collar,secondary",yes,no,yes,yes,unknown,7,"may, 2017",866 sec,2,-1,0,unknown,no
958,57,55000,502,married,"retired,secondary",yes,no,yes,no,unknown,7,"may, 2017",229 sec,3,-1,0,unknown,no
959,38,70000,-32,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",154 sec,2,-1,0,unknown,no
960,39,20000,106,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",56 sec,1,-1,0,unknown,no
961,36,60000,301,married,"technician,tertiary",yes,no,yes,no,unknown,7,"may, 2017",1581 sec,2,-1,0,unknown,no
962,57,55000,906,married,"retired,tertiary",yes,no,yes,no,unknown,7,"may, 2017",117 sec,1,-1,0,unknown,no
963,44,100000,187,married,"management,unknown",no,no,yes,no,unknown,7,"may, 2017",185 sec,1,-1,0,unknown,no
964,48,70000,852,divorced,"services,secondary",yes,no,yes,yes,unknown,7,"may, 2017",202 sec,1,-1,0,unknown,no
965,46,20000,143,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",279 sec,1,-1,0,unknown,no
966,43,50000,71,married,"admin.,secondary",yes,no,no,no,unknown,7,"may, 2017",180 sec,5,-1,0,unknown,no
967,49,70000,1496,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",218 sec,4,-1,0,unknown,no
968,29,70000,703,single,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",129 sec,5,-1,0,unknown,no
969,53,20000,732,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",530 sec,2,-1,0,unknown,no
970,30,70000,21,single,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",104 sec,2,-1,0,unknown,no
971,41,100000,276,divorced,"management,secondary",yes,no,yes,no,unknown,7,"may, 2017",60 sec,1,-1,0,unknown,no
972,33,60000,0,married,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",432 sec,1,-1,0,unknown,no
973,47,20000,550,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",113 sec,1,-1,0,unknown,no
974,58,55000,268,married,"retired,secondary",yes,no,yes,no,unknown,7,"may, 2017",516 sec,1,-1,0,unknown,no
975,31,8000,-825,married,"unemployed,secondary",yes,no,yes,no,unknown,7,"may, 2017",179 sec,2,-1,0,unknown,no
